date,sex_code,sex_label,employed_fulltime_thousands,employed_parttime_thousands,employed_total_thousands,fulltime_share_pct,parttime_share_pct,fulltime_share_yoy_change_ppt,employed_total_yoy_change_pct,is_latest_month
1978-02-01,2,Female,1399.5,716.9,2116.4,66.13,33.87,,,0
1978-03-01,2,Female,1403.9,714.5,2118.3,66.27,33.73,,,0
1978-04-01,2,Female,1422.7,719.4,2142.2,66.42,33.58,,,0
1978-05-01,2,Female,1426.6,720.8,2147.3,66.43,33.57,,,0
1978-06-01,2,Female,1423.7,727.4,2151.1,66.19,33.81,,,0
1978-07-01,2,Female,1428.2,729.3,2157.5,66.2,33.8,,,0
1978-08-01,2,Female,1429.8,734.0,2163.8,66.08,33.92,,,0
1978-09-01,2,Female,1434.8,725.9,2160.7,66.41,33.59,,,0
1978-10-01,2,Female,1433.6,726.5,2160.1,66.37,33.63,,,0
1978-11-01,2,Female,1423.1,727.3,2150.4,66.18,33.82,,,0
1978-12-01,2,Female,1423.5,738.5,2162.0,65.84,34.16,,,0
1979-01-01,2,Female,1426.0,734.2,2160.2,66.01,33.99,,,0
1979-02-01,2,Female,1425.2,737.5,2162.6,65.9,34.1,-0.23,2.18,0
1979-03-01,2,Female,1419.7,733.4,2153.1,65.94,34.06,-0.33,1.64,0
1979-04-01,2,Female,1409.1,745.4,2154.5,65.4,34.6,-1.02,0.58,0
1979-05-01,2,Female,1406.6,744.2,2150.9,65.4,34.6,-1.03,0.16,0
1979-06-01,2,Female,1425.2,746.3,2171.5,65.63,34.37,-0.56,0.95,0
1979-07-01,2,Female,1418.7,748.5,2167.2,65.46,34.54,-0.74,0.45,0
1979-08-01,2,Female,1423.0,746.8,2169.9,65.58,34.42,-0.5,0.28,0
1979-09-01,2,Female,1423.9,750.1,2173.9,65.5,34.5,-0.91,0.61,0
1979-10-01,2,Female,1439.0,765.3,2204.3,65.28,34.72,-1.09,2.05,0
1979-11-01,2,Female,1455.2,765.1,2220.3,65.54,34.46,-0.64,3.25,0
1979-12-01,2,Female,1457.9,764.1,2222.0,65.61,34.39,-0.23,2.78,0
1980-01-01,2,Female,1466.4,773.5,2239.9,65.47,34.53,-0.54,3.69,0
1980-02-01,2,Female,1488.9,766.7,2255.5,66.01,33.99,0.11,4.29,0
1980-03-01,2,Female,1495.4,771.0,2266.4,65.98,34.02,0.04,5.26,0
1980-04-01,2,Female,1494.5,777.0,2271.4,65.79,34.21,0.39,5.43,0
1980-05-01,2,Female,1508.4,767.0,2275.4,66.29,33.71,0.89,5.79,0
1980-06-01,2,Female,1499.7,790.6,2290.3,65.48,34.52,-0.15,5.47,0
1980-07-01,2,Female,1502.3,806.9,2309.2,65.06,34.94,-0.4,6.55,0
1980-08-01,2,Female,1504.3,803.2,2307.5,65.19,34.81,-0.39,6.34,0
1980-09-01,2,Female,1502.0,809.5,2311.6,64.98,35.02,-0.52,6.33,0
1980-10-01,2,Female,1493.6,801.1,2294.7,65.09,34.91,-0.19,4.1,0
1980-11-01,2,Female,1492.3,808.0,2300.3,64.87,35.13,-0.67,3.6,0
1980-12-01,2,Female,1498.6,805.1,2303.7,65.05,34.95,-0.56,3.67,0
1981-01-01,2,Female,1500.0,807.5,2307.5,65.01,34.99,-0.46,3.02,0
1981-02-01,2,Female,1501.3,814.2,2315.5,64.84,35.16,-1.17,2.66,0
1981-03-01,2,Female,1485.4,821.7,2307.1,64.38,35.62,-1.6,1.8,0
1981-04-01,2,Female,1517.3,815.2,2332.4,65.05,34.95,-0.74,2.69,0
1981-05-01,2,Female,1509.1,823.0,2332.2,64.71,35.29,-1.58,2.49,0
1981-06-01,2,Female,1524.1,820.7,2344.7,65.0,35.0,-0.48,2.38,0
1981-07-01,2,Female,1520.5,818.2,2338.6,65.02,34.98,-0.04,1.27,0
1981-08-01,2,Female,1527.9,822.0,2349.9,65.02,34.98,-0.17,1.84,0
1981-09-01,2,Female,1544.9,831.1,2376.0,65.02,34.98,0.04,2.79,0
1981-10-01,2,Female,1545.8,823.2,2369.0,65.25,34.75,0.16,3.24,0
1981-11-01,2,Female,1532.2,822.9,2355.1,65.06,34.94,0.19,2.38,0
1981-12-01,2,Female,1552.0,811.1,2363.2,65.68,34.32,0.63,2.58,0
1982-01-01,2,Female,1550.8,821.1,2371.9,65.38,34.62,0.37,2.79,0
1982-02-01,2,Female,1541.5,821.3,2362.8,65.24,34.76,0.4,2.04,0
1982-03-01,2,Female,1530.9,830.2,2361.1,64.84,35.16,0.46,2.34,0
1982-04-01,2,Female,1545.8,823.4,2369.1,65.25,34.75,0.2,1.57,0
1982-05-01,2,Female,1539.0,819.7,2358.7,65.25,34.75,0.54,1.14,0
1982-06-01,2,Female,1538.2,815.6,2353.8,65.35,34.65,0.35,0.39,0
1982-07-01,2,Female,1524.3,830.0,2354.4,64.75,35.25,-0.27,0.67,0
1982-08-01,2,Female,1528.7,836.7,2365.4,64.63,35.37,-0.39,0.66,0
1982-09-01,2,Female,1518.5,833.6,2352.2,64.56,35.44,-0.46,-1.0,0
1982-10-01,2,Female,1507.1,851.3,2358.4,63.9,36.1,-1.35,-0.45,0
1982-11-01,2,Female,1505.3,832.9,2338.1,64.38,35.62,-0.68,-0.72,0
1982-12-01,2,Female,1476.6,856.8,2333.3,63.28,36.72,-2.4,-1.26,0
1983-01-01,2,Female,1483.8,854.9,2338.7,63.45,36.55,-1.93,-1.4,0
1983-02-01,2,Female,1477.2,860.2,2337.5,63.2,36.8,-2.04,-1.07,0
1983-03-01,2,Female,1483.1,847.2,2330.3,63.64,36.36,-1.2,-1.3,0
1983-04-01,2,Female,1491.3,823.6,2314.8,64.42,35.58,-0.83,-2.29,0
1983-05-01,2,Female,1504.3,834.7,2339.0,64.31,35.69,-0.94,-0.84,0
1983-06-01,2,Female,1501.9,842.8,2344.7,64.06,35.94,-1.29,-0.39,0
1983-07-01,2,Female,1517.6,837.8,2355.5,64.43,35.57,-0.32,0.05,0
1983-08-01,2,Female,1511.0,842.6,2353.6,64.2,35.8,-0.43,-0.5,0
1983-09-01,2,Female,1535.9,826.5,2362.5,65.01,34.99,0.45,0.44,0
1983-10-01,2,Female,1530.9,835.4,2366.3,64.7,35.3,0.8,0.33,0
1983-11-01,2,Female,1535.9,849.6,2385.5,64.38,35.62,0.0,2.03,0
1983-12-01,2,Female,1533.1,859.0,2392.2,64.09,35.91,0.81,2.52,0
1984-01-01,2,Female,1535.4,854.0,2389.4,64.26,35.74,0.81,2.16,0
1984-02-01,2,Female,1528.0,859.9,2387.9,63.99,36.01,0.79,2.16,0
1984-03-01,2,Female,1532.5,880.0,2412.5,63.52,36.48,-0.12,3.53,0
1984-04-01,2,Female,1537.7,888.6,2426.3,63.38,36.62,-1.04,4.81,0
1984-05-01,2,Female,1543.3,896.4,2439.7,63.26,36.74,-1.05,4.31,0
1984-06-01,2,Female,1557.4,896.2,2453.6,63.48,36.52,-0.58,4.64,0
1984-07-01,2,Female,1559.9,894.0,2453.9,63.57,36.43,-0.86,4.18,0
1984-08-01,2,Female,1571.2,890.6,2461.8,63.82,36.18,-0.38,4.59,0
1984-09-01,2,Female,1568.5,920.6,2489.1,63.02,36.98,-1.99,5.36,0
1984-10-01,2,Female,1570.7,913.7,2484.5,63.22,36.78,-1.48,4.99,0
1984-11-01,2,Female,1583.8,901.4,2485.2,63.73,36.27,-0.65,4.18,0
1984-12-01,2,Female,1596.2,902.7,2498.9,63.88,36.12,-0.21,4.46,0
1985-01-01,2,Female,1595.6,906.4,2502.0,63.77,36.23,-0.49,4.72,0
1985-02-01,2,Female,1610.9,925.8,2536.6,63.5,36.5,-0.49,6.23,0
1985-03-01,2,Female,1611.7,911.1,2522.8,63.88,36.12,0.36,4.57,0
1985-04-01,2,Female,1598.7,923.0,2521.6,63.4,36.6,0.02,3.93,0
1985-05-01,2,Female,1607.9,937.0,2544.9,63.18,36.82,-0.08,4.31,0
1985-06-01,2,Female,1620.5,938.1,2558.6,63.34,36.66,-0.14,4.28,0
1985-07-01,2,Female,1632.9,948.4,2581.3,63.26,36.74,-0.31,5.19,0
1985-08-01,2,Female,1633.5,952.4,2585.9,63.17,36.83,-0.65,5.04,0
1985-09-01,2,Female,1638.8,960.6,2599.4,63.05,36.95,0.03,4.43,0
1985-10-01,2,Female,1640.0,964.1,2604.2,62.98,37.02,-0.24,4.82,0
1985-11-01,2,Female,1654.6,990.9,2645.4,62.54,37.46,-1.19,6.45,0
1985-12-01,2,Female,1660.7,981.6,2642.3,62.85,37.15,-1.03,5.74,0
1986-01-01,2,Female,1676.1,986.6,2662.7,62.95,37.05,-0.82,6.42,0
1986-02-01,2,Female,1709.1,976.3,2685.4,63.64,36.36,0.14,5.86,0
1986-03-01,2,Female,1692.2,993.2,2685.3,63.02,36.98,-0.86,6.44,0
1986-04-01,2,Female,1715.2,1025.6,2740.7,62.58,37.42,-0.82,8.69,0
1986-05-01,2,Female,1713.5,1024.5,2738.0,62.58,37.42,-0.6,7.59,0
1986-06-01,2,Female,1707.1,1037.3,2744.5,62.2,37.8,-1.14,7.26,0
1986-07-01,2,Female,1707.0,1050.8,2757.8,61.9,38.1,-1.36,6.84,0
1986-08-01,2,Female,1714.5,1019.4,2733.9,62.71,37.29,-0.46,5.72,0
1986-09-01,2,Female,1708.8,1043.0,2751.8,62.1,37.9,-0.95,5.86,0
1986-10-01,2,Female,1730.4,1053.4,2783.7,62.16,37.84,-0.82,6.9,0
1986-11-01,2,Female,1722.8,1057.3,2780.1,61.97,38.03,-0.57,5.09,0
1986-12-01,2,Female,1709.3,1070.8,2780.1,61.48,38.52,-1.37,5.22,0
1987-01-01,2,Female,1715.5,1070.0,2785.6,61.59,38.41,-1.36,4.61,0
1987-02-01,2,Female,1723.2,1082.3,2805.5,61.42,38.58,-2.22,4.48,0
1987-03-01,2,Female,1724.2,1076.9,2801.1,61.56,38.44,-1.46,4.31,0
1987-04-01,2,Female,1734.0,1079.9,2813.8,61.62,38.38,-0.96,2.67,0
1987-05-01,2,Female,1730.5,1089.0,2819.5,61.38,38.62,-1.2,2.98,0
1987-06-01,2,Female,1737.1,1093.7,2830.8,61.36,38.64,-0.84,3.15,0
1987-07-01,2,Female,1753.9,1095.6,2849.6,61.55,38.45,-0.35,3.33,0
1987-08-01,2,Female,1739.1,1099.5,2838.7,61.27,38.73,-1.44,3.83,0
1987-09-01,2,Female,1744.2,1099.2,2843.4,61.34,38.66,-0.76,3.33,0
1987-10-01,2,Female,1772.6,1102.8,2875.5,61.65,38.35,-0.51,3.29,0
1987-11-01,2,Female,1747.8,1116.0,2863.8,61.03,38.97,-0.94,3.01,0
1987-12-01,2,Female,1780.4,1112.9,2893.3,61.54,38.46,0.06,4.07,0
1988-01-01,2,Female,1795.2,1126.1,2921.3,61.45,38.55,-0.14,4.87,0
1988-02-01,2,Female,1798.7,1116.5,2915.2,61.7,38.3,0.28,3.91,0
1988-03-01,2,Female,1804.4,1130.5,2935.0,61.48,38.52,-0.08,4.78,0
1988-04-01,2,Female,1809.2,1143.1,2952.3,61.28,38.72,-0.34,4.92,0
1988-05-01,2,Female,1805.9,1140.7,2946.6,61.29,38.71,-0.09,4.51,0
1988-06-01,2,Female,1802.8,1150.6,2953.3,61.04,38.96,-0.32,4.33,0
1988-07-01,2,Female,1805.1,1147.7,2952.8,61.13,38.87,-0.42,3.62,0
1988-08-01,2,Female,1828.6,1161.6,2990.2,61.15,38.85,-0.12,5.34,0
1988-09-01,2,Female,1842.6,1170.2,3012.8,61.16,38.84,-0.18,5.96,0
1988-10-01,2,Female,1870.4,1147.5,3017.9,61.98,38.02,0.33,4.95,0
1988-11-01,2,Female,1857.4,1159.8,3017.2,61.56,38.44,0.53,5.36,0
1988-12-01,2,Female,1857.4,1185.6,3043.0,61.04,38.96,-0.5,5.17,0
1989-01-01,2,Female,1870.5,1197.6,3068.0,60.97,39.03,-0.48,5.02,0
1989-02-01,2,Female,1879.4,1215.2,3094.7,60.73,39.27,-0.97,6.16,0
1989-03-01,2,Female,1889.6,1213.8,3103.4,60.89,39.11,-0.59,5.74,0
1989-04-01,2,Female,1900.9,1209.6,3110.5,61.11,38.89,-0.17,5.36,0
1989-05-01,2,Female,1909.0,1237.5,3146.5,60.67,39.33,-0.62,6.78,0
1989-06-01,2,Female,1924.5,1222.1,3146.6,61.16,38.84,0.12,6.55,0
1989-07-01,2,Female,1915.9,1237.7,3153.6,60.75,39.25,-0.38,6.8,0
1989-08-01,2,Female,1927.0,1252.4,3179.4,60.61,39.39,-0.54,6.33,0
1989-09-01,2,Female,1929.0,1263.4,3192.4,60.43,39.57,-0.73,5.96,0
1989-10-01,2,Female,1937.4,1257.3,3194.7,60.64,39.36,-1.34,5.86,0
1989-11-01,2,Female,1958.5,1259.9,3218.4,60.85,39.15,-0.71,6.67,0
1989-12-01,2,Female,1959.1,1267.1,3226.3,60.72,39.28,-0.32,6.02,0
1990-01-01,2,Female,1962.0,1262.7,3224.7,60.84,39.16,-0.13,5.1,0
1990-02-01,2,Female,1965.4,1275.0,3240.4,60.65,39.35,-0.08,4.71,0
1990-03-01,2,Female,1970.6,1281.3,3251.9,60.6,39.4,-0.29,4.79,0
1990-04-01,2,Female,1961.8,1291.9,3253.7,60.29,39.71,-0.82,4.6,0
1990-05-01,2,Female,1981.6,1289.1,3270.7,60.59,39.41,-0.08,3.95,0
1990-06-01,2,Female,1974.4,1298.4,3272.8,60.33,39.67,-0.83,4.01,0
1990-07-01,2,Female,1987.3,1298.3,3285.6,60.48,39.52,-0.27,4.19,0
1990-08-01,2,Female,1978.7,1289.1,3267.8,60.55,39.45,-0.06,2.78,0
1990-09-01,2,Female,1969.4,1281.0,3250.4,60.59,39.41,0.16,1.82,0
1990-10-01,2,Female,1950.1,1306.1,3256.2,59.89,40.11,-0.75,1.92,0
1990-11-01,2,Female,1952.2,1304.6,3256.8,59.94,40.06,-0.91,1.19,0
1990-12-01,2,Female,1952.0,1309.4,3261.4,59.85,40.15,-0.87,1.09,0
1991-01-01,2,Female,1948.2,1283.7,3231.9,60.28,39.72,-0.56,0.22,0
1991-02-01,2,Female,1926.5,1316.0,3242.5,59.41,40.59,-1.24,0.07,0
1991-03-01,2,Female,1909.6,1313.5,3223.1,59.25,40.75,-1.35,-0.89,0
1991-04-01,2,Female,1920.2,1313.6,3233.7,59.38,40.62,-0.91,-0.61,0
1991-05-01,2,Female,1917.5,1312.4,3229.9,59.37,40.63,-1.22,-1.25,0
1991-06-01,2,Female,1913.6,1310.3,3223.9,59.36,40.64,-0.97,-1.49,0
1991-07-01,2,Female,1912.0,1304.3,3216.3,59.45,40.55,-1.03,-2.11,0
1991-08-01,2,Female,1913.2,1302.2,3215.4,59.5,40.5,-1.05,-1.61,0
1991-09-01,2,Female,1918.9,1303.1,3222.0,59.56,40.44,-1.03,-0.87,0
1991-10-01,2,Female,1918.5,1286.8,3205.4,59.85,40.15,-0.04,-1.56,0
1991-11-01,2,Female,1875.3,1312.4,3187.8,58.83,41.17,-1.11,-2.12,0
1991-12-01,2,Female,1896.1,1314.7,3210.7,59.05,40.95,-0.8,-1.55,0
1992-01-01,2,Female,1902.0,1322.4,3224.4,58.99,41.01,-1.29,-0.23,0
1992-02-01,2,Female,1911.7,1321.3,3233.0,59.13,40.87,-0.28,-0.29,0
1992-03-01,2,Female,1895.8,1326.8,3222.6,58.83,41.17,-0.42,-0.01,0
1992-04-01,2,Female,1880.9,1335.4,3216.2,58.48,41.52,-0.9,-0.54,0
1992-05-01,2,Female,1892.0,1325.0,3217.0,58.81,41.19,-0.56,-0.4,0
1992-06-01,2,Female,1879.3,1350.3,3229.5,58.19,41.81,-1.17,0.17,0
1992-07-01,2,Female,1885.4,1358.8,3244.2,58.12,41.88,-1.33,0.87,0
1992-08-01,2,Female,1879.9,1373.7,3253.6,57.78,42.22,-1.72,1.19,0
1992-09-01,2,Female,1873.8,1363.7,3237.5,57.88,42.12,-1.68,0.48,0
1992-10-01,2,Female,1867.8,1376.4,3244.2,57.57,42.43,-2.28,1.21,0
1992-11-01,2,Female,1869.9,1351.9,3221.7,58.04,41.96,-0.79,1.07,0
1992-12-01,2,Female,1885.3,1340.9,3226.3,58.44,41.56,-0.61,0.48,0
1993-01-01,2,Female,1910.9,1341.9,3252.8,58.75,41.25,-0.24,0.88,0
1993-02-01,2,Female,1885.5,1338.1,3223.6,58.49,41.51,-0.64,-0.29,0
1993-03-01,2,Female,1902.4,1335.9,3238.3,58.75,41.25,-0.08,0.49,0
1993-04-01,2,Female,1902.4,1331.3,3233.7,58.83,41.17,0.35,0.54,0
1993-05-01,2,Female,1898.6,1332.3,3230.9,58.76,41.24,-0.05,0.43,0
1993-06-01,2,Female,1910.2,1320.4,3230.6,59.13,40.87,0.94,0.03,0
1993-07-01,2,Female,1896.2,1332.3,3228.6,58.73,41.27,0.61,-0.48,0
1993-08-01,2,Female,1906.5,1347.7,3254.2,58.58,41.42,0.8,0.02,0
1993-09-01,2,Female,1901.7,1355.6,3257.2,58.38,41.62,0.5,0.61,0
1993-10-01,2,Female,1919.0,1369.1,3288.1,58.36,41.64,0.79,1.35,0
1993-11-01,2,Female,1916.7,1371.8,3288.5,58.29,41.71,0.25,2.07,0
1993-12-01,2,Female,1924.7,1371.2,3295.9,58.4,41.6,-0.04,2.16,0
1994-01-01,2,Female,1925.0,1375.4,3300.3,58.33,41.67,-0.42,1.46,0
1994-02-01,2,Female,1943.7,1380.2,3323.8,58.48,41.52,-0.01,3.11,0
1994-03-01,2,Female,1947.1,1384.2,3331.3,58.45,41.55,-0.3,2.87,0
1994-04-01,2,Female,1927.1,1395.6,3322.6,58.0,42.0,-0.83,2.75,0
1994-05-01,2,Female,1938.1,1407.0,3345.1,57.94,42.06,-0.82,3.54,0
1994-06-01,2,Female,1961.5,1389.1,3350.6,58.54,41.46,-0.59,3.71,0
1994-07-01,2,Female,1955.3,1433.3,3388.6,57.7,42.3,-1.03,4.96,0
1994-08-01,2,Female,1962.2,1416.1,3378.3,58.08,41.92,-0.5,3.81,0
1994-09-01,2,Female,1984.5,1432.2,3416.7,58.08,41.92,-0.3,4.9,0
1994-10-01,2,Female,1971.7,1430.1,3401.8,57.96,42.04,-0.4,3.46,0
1994-11-01,2,Female,1985.6,1428.3,3413.9,58.16,41.84,-0.13,3.81,0
