date,industry_code,industry_name,employed_thousands,employed_yoy_change_thousands,employed_yoy_change_pct,rank_by_employment,growth_category,is_latest_year,is_focus_industry
1995-01-01,H,Accommodation & Food Services,675.7,,,4,Stable,0,0
1996-01-01,H,Accommodation & Food Services,672.3,-3.4,-0.5,5,Stable,0,0
1997-01-01,H,Accommodation & Food Services,694.6,22.3,3.31,5,Growing,0,0
1998-01-01,H,Accommodation & Food Services,719.4,24.8,3.57,5,Growing,0,0
1999-01-01,H,Accommodation & Food Services,736.2,16.8,2.34,4,Growing,0,0
2000-01-01,H,Accommodation & Food Services,756.3,20.1,2.73,4,Growing,0,0
2001-01-01,H,Accommodation & Food Services,797.6,41.2,5.45,4,Growing,0,0
2002-01-01,H,Accommodation & Food Services,775.6,-22.0,-2.76,4,Shrinking,0,0
2003-01-01,H,Accommodation & Food Services,788.4,12.8,1.65,4,Stable,0,0
2004-01-01,H,Accommodation & Food Services,811.2,22.8,2.9,4,Growing,0,0
2005-01-01,H,Accommodation & Food Services,845.8,34.7,4.27,4,Growing,0,0
2006-01-01,H,Accommodation & Food Services,831.8,-14.0,-1.66,5,Stable,0,0
2007-01-01,H,Accommodation & Food Services,859.8,28.0,3.37,6,Growing,0,0
2008-01-01,H,Accommodation & Food Services,854.7,-5.2,-0.6,6,Stable,0,0
2011-01-01,H,Accommodation & Food Services,911.3,56.6,6.63,6,Growing,0,0
2012-01-01,H,Accommodation & Food Services,931.2,19.9,2.18,5,Growing,0,0
2013-01-01,H,Accommodation & Food Services,971.8,40.6,4.36,5,Growing,0,0
2014-01-01,H,Accommodation & Food Services,946.7,-25.1,-2.58,6,Shrinking,0,0
2015-01-01,H,Accommodation & Food Services,993.4,46.7,4.93,4,Growing,0,0
2016-01-01,H,Accommodation & Food Services,1033.0,39.6,3.99,4,Growing,0,0
2017-01-01,H,Accommodation & Food Services,1033.7,0.7,0.07,5,Stable,0,0
2018-01-01,H,Accommodation & Food Services,1107.7,74.0,7.15,5,Growing,0,0
2019-01-01,H,Accommodation & Food Services,1096.2,-11.5,-1.04,5,Stable,0,0
2020-01-01,H,Accommodation & Food Services,1101.7,5.5,0.5,5,Stable,0,0
2021-01-01,H,Accommodation & Food Services,1082.7,-19.0,-1.72,6,Stable,0,0
2022-01-01,H,Accommodation & Food Services,1140.2,57.5,5.31,5,Growing,1,0
1995-01-01,N,Administrative & Support Services,308.5,,,14,Stable,0,0
1996-01-01,N,Administrative & Support Services,314.4,5.9,1.92,14,Stable,0,0
1997-01-01,N,Administrative & Support Services,325.0,10.6,3.36,14,Growing,0,0
1998-01-01,N,Administrative & Support Services,336.3,11.3,3.49,14,Growing,0,0
1999-01-01,N,Administrative & Support Services,393.1,56.8,16.9,13,Growing,0,0
2000-01-01,N,Administrative & Support Services,459.0,65.9,16.76,12,Growing,0,0
2001-01-01,N,Administrative & Support Services,513.0,54.0,11.77,10,Growing,0,0
2002-01-01,N,Administrative & Support Services,557.1,44.0,8.58,9,Growing,0,0
2003-01-01,N,Administrative & Support Services,579.2,22.1,3.97,9,Growing,0,0
2004-01-01,N,Administrative & Support Services,627.2,48.0,8.28,9,Growing,0,0
2005-01-01,N,Administrative & Support Services,655.1,27.9,4.45,9,Growing,0,0
2006-01-01,N,Administrative & Support Services,674.6,19.5,2.97,9,Growing,0,0
2007-01-01,N,Administrative & Support Services,728.6,54.1,8.01,8,Growing,0,0
2008-01-01,N,Administrative & Support Services,767.8,39.2,5.38,8,Growing,0,0
2011-01-01,N,Administrative & Support Services,778.0,10.2,1.32,8,Stable,0,0
2012-01-01,N,Administrative & Support Services,813.9,35.9,4.62,8,Growing,0,0
