date,employed_thousands,unemployed_thousands,unemployment_rate_pct,participation_rate_pct,emp_to_pop_ratio_pct,unemployment_rate_mom_change_ppt,employed_mom_change_pct,unemployment_rate_yoy_change_ppt,employed_yoy_change_pct,is_latest_month
1978-02-01,5997.4,426.9,6.64,61.25,57.18,,,,,0
1978-03-01,6002.9,403.8,6.3,60.97,57.12,-0.342,0.09,,,0
1978-04-01,6030.7,403.2,6.27,61.17,57.33,-0.035,0.46,,,0
1978-05-01,6033.1,399.4,6.21,61.08,57.29,-0.058,0.04,,,0
1978-06-01,6033.8,406.0,6.3,61.08,57.23,0.095,0.01,,,0
1978-07-01,6030.4,400.1,6.22,60.92,57.13,-0.082,-0.06,,,0
1978-08-01,6036.3,418.9,6.49,61.07,57.11,0.268,0.1,,,0
1978-09-01,6030.8,402.4,6.26,60.77,56.96,-0.235,-0.09,,,0
1978-10-01,6035.8,396.4,6.16,60.69,56.95,-0.092,0.08,,,0
1978-11-01,6028.1,407.4,6.33,60.64,56.8,0.168,-0.13,,,0
1978-12-01,6053.1,414.3,6.41,60.85,56.95,0.074,0.41,,,0
1979-01-01,6050.9,411.8,6.37,60.72,56.85,-0.033,-0.04,,,0
1979-02-01,6063.4,404.7,6.26,60.67,56.88,-0.115,0.21,-0.388,1.1,0
1979-03-01,6055.5,407.4,6.3,60.51,56.7,0.046,-0.13,0.0,0.88,0
1979-04-01,6064.6,421.5,6.5,60.66,56.72,0.195,0.15,0.231,0.56,0
1979-05-01,6070.2,401.5,6.2,60.45,56.7,-0.295,0.09,-0.006,0.62,0
1979-06-01,6099.3,406.7,6.25,60.67,56.87,0.048,0.48,-0.052,1.09,0
1979-07-01,6097.4,408.0,6.27,60.59,56.79,0.02,-0.03,0.05,1.11,0
1979-08-01,6114.8,398.5,6.12,60.58,56.88,-0.154,0.28,-0.372,1.3,0
1979-09-01,6116.8,406.5,6.23,60.59,56.81,0.114,0.03,-0.023,1.43,0
1979-10-01,6152.1,419.5,6.38,60.95,57.06,0.152,0.58,0.22,1.93,0
1979-11-01,6180.4,397.6,6.04,60.92,57.24,-0.339,0.46,-0.286,2.53,0
1979-12-01,6183.9,403.1,6.12,60.9,57.17,0.075,0.06,-0.285,2.16,0
1980-01-01,6203.8,406.3,6.15,61.04,57.29,0.027,0.32,-0.225,2.53,0
1980-02-01,6221.8,397.0,6.0,61.04,57.37,-0.148,0.29,-0.259,2.61,0
1980-03-01,6232.8,393.4,5.94,61.01,57.39,-0.062,0.18,-0.367,2.93,0
1980-04-01,6246.6,406.8,6.11,61.18,57.44,0.178,0.22,-0.384,3.0,0
1980-05-01,6267.9,417.6,6.25,61.38,57.55,0.131,0.34,0.042,3.26,0
1980-06-01,6275.4,423.6,6.32,61.4,57.52,0.077,0.12,0.072,2.89,0
1980-07-01,6306.6,407.8,6.07,61.46,57.73,-0.249,0.5,-0.198,3.43,0
1980-08-01,6315.6,415.8,6.18,61.53,57.73,0.103,0.14,0.059,3.28,0
1980-09-01,6317.6,413.3,6.14,61.42,57.64,-0.036,0.03,-0.091,3.28,0
1980-10-01,6306.9,406.5,6.06,61.16,57.45,-0.086,-0.17,-0.329,2.52,0
1980-11-01,6328.5,393.2,5.85,61.12,57.55,-0.205,0.34,-0.195,2.4,0
1980-12-01,6351.4,409.1,6.05,61.35,57.64,0.201,0.36,-0.069,2.71,0
1981-01-01,6357.3,399.7,5.92,61.22,57.6,-0.135,0.09,-0.231,2.48,0
1981-02-01,6372.8,379.2,5.62,61.07,57.64,-0.299,0.24,-0.382,2.43,0
1981-03-01,6376.5,388.7,5.75,61.06,57.55,0.13,0.06,-0.191,2.31,0
1981-04-01,6404.0,376.7,5.55,61.12,57.73,-0.191,0.43,-0.56,2.52,0
1981-05-01,6405.1,379.2,5.59,61.06,57.65,0.034,0.02,-0.657,2.19,0
1981-06-01,6420.8,364.7,5.37,60.98,57.7,-0.214,0.25,-0.949,2.32,0
1981-07-01,6418.4,396.9,5.82,61.14,57.58,0.45,-0.04,-0.25,1.77,0
1981-08-01,6434.4,399.5,5.85,61.21,57.63,0.022,0.25,-0.331,1.88,0
1981-09-01,6459.2,398.6,5.81,61.32,57.75,-0.034,0.39,-0.329,2.24,0
1981-10-01,6429.8,401.1,5.87,60.97,57.39,0.061,-0.46,-0.183,1.95,0
1981-11-01,6416.9,409.2,6.0,60.81,57.17,0.123,-0.2,0.145,1.4,0
1981-12-01,6430.0,412.4,6.03,60.85,57.18,0.032,0.21,-0.024,1.24,0
1982-01-01,6469.1,411.6,5.98,61.07,57.42,-0.046,0.61,0.066,1.76,0
1982-02-01,6450.3,434.3,6.31,61.0,57.15,0.327,-0.29,0.692,1.22,0
1982-03-01,6443.1,434.9,6.32,60.83,56.98,0.015,-0.11,0.577,1.04,0
1982-04-01,6455.7,436.5,6.33,60.85,57.0,0.01,0.2,0.778,0.81,0
1982-05-01,6432.8,454.0,6.59,60.71,56.7,0.259,-0.36,1.004,0.43,0
1982-06-01,6420.8,466.0,6.77,60.61,56.51,0.174,-0.19,1.393,0.0,0
1982-07-01,6419.9,474.2,6.88,60.58,56.41,0.112,-0.01,1.055,0.02,0
1982-08-01,6416.4,483.8,7.01,60.54,56.29,0.132,-0.05,1.165,-0.28,0
1982-09-01,6400.7,513.7,7.43,60.57,56.07,0.418,-0.24,1.617,-0.91,0
1982-10-01,6402.9,579.2,8.3,61.08,56.02,0.866,0.03,2.423,-0.42,0
1982-11-01,6345.6,603.1,8.68,60.72,55.45,0.385,-0.89,2.684,-1.11,0
1982-12-01,6295.6,653.3,9.4,60.64,54.94,0.722,-0.79,3.375,-2.09,0
1983-01-01,6296.6,645.4,9.3,60.48,54.85,-0.104,0.02,3.316,-2.67,0
1983-02-01,6289.4,672.4,9.66,60.55,54.7,0.361,-0.11,3.35,-2.5,0
1983-03-01,6255.7,691.4,9.95,60.32,54.31,0.293,-0.53,3.629,-2.91,0
1983-04-01,6232.9,704.3,10.15,60.13,54.03,0.2,-0.36,3.819,-3.45,0
1983-05-01,6263.8,721.1,10.32,60.45,54.21,0.171,0.5,3.73,-2.63,0
1983-06-01,6271.2,712.6,10.2,60.35,54.19,-0.119,0.12,3.437,-2.33,0
1983-07-01,6276.7,738.3,10.52,60.53,54.16,0.32,0.09,3.645,-2.23,0
1983-08-01,6283.0,715.1,10.22,60.3,54.13,-0.306,0.1,3.207,-2.08,0
1983-09-01,6316.7,728.3,10.34,60.61,54.35,0.119,0.54,2.909,-1.31,0
1983-10-01,6317.3,702.6,10.01,60.32,54.28,-0.33,0.01,1.713,-1.34,0
