date,region_code,region_name,employed_thousands,unemployment_rate_pct,unemployment_rate_mom_change_ppt,unemployment_rate_yoy_change_ppt,employed_yoy_change_pct,is_latest_month
1978-02-01,8,Australian Capital Territory,94.3,5.79,,,,0
1978-03-01,8,Australian Capital Territory,94.8,6.01,0.22,,,0
1978-04-01,8,Australian Capital Territory,95.1,6.17,0.162,,,0
1978-05-01,8,Australian Capital Territory,95.5,6.36,0.189,,,0
1978-06-01,8,Australian Capital Territory,95.8,6.56,0.199,,,0
1978-07-01,8,Australian Capital Territory,96.1,6.79,0.229,,,0
1978-08-01,8,Australian Capital Territory,96.1,7.04,0.256,,,0
1978-09-01,8,Australian Capital Territory,96.0,7.32,0.276,,,0
1978-10-01,8,Australian Capital Territory,95.8,7.58,0.265,,,0
1978-11-01,8,Australian Capital Territory,95.4,7.81,0.231,,,0
1978-12-01,8,Australian Capital Territory,94.8,7.99,0.175,,,0
1979-01-01,8,Australian Capital Territory,94.1,8.09,0.097,,,0
1979-02-01,8,Australian Capital Territory,93.5,8.09,0.001,2.301,-0.88,0
1979-03-01,8,Australian Capital Territory,93.0,8.0,-0.092,1.989,-1.84,0
1979-04-01,8,Australian Capital Territory,92.9,7.82,-0.175,1.652,-2.39,0
1979-05-01,8,Australian Capital Territory,93.0,7.59,-0.235,1.228,-2.57,0
1979-06-01,8,Australian Capital Territory,93.5,7.32,-0.262,0.767,-2.47,0
1979-07-01,8,Australian Capital Territory,94.0,7.06,-0.26,0.278,-2.11,0
1979-08-01,8,Australian Capital Territory,94.7,6.83,-0.235,-0.213,-1.51,0
1979-09-01,8,Australian Capital Territory,95.3,6.63,-0.194,-0.683,-0.8,0
1979-10-01,8,Australian Capital Territory,95.8,6.48,-0.152,-1.099,-0.01,0
1979-11-01,8,Australian Capital Territory,96.3,6.36,-0.122,-1.452,0.96,0
1979-12-01,8,Australian Capital Territory,96.9,6.26,-0.099,-1.727,2.19,0
1980-01-01,8,Australian Capital Territory,97.6,6.18,-0.081,-1.905,3.64,0
1980-02-01,8,Australian Capital Territory,98.2,6.12,-0.059,-1.966,5.04,0
1980-03-01,8,Australian Capital Territory,98.8,6.08,-0.044,-1.918,6.18,0
1980-04-01,8,Australian Capital Territory,99.2,6.04,-0.034,-1.777,6.78,0
1980-05-01,8,Australian Capital Territory,99.4,6.02,-0.026,-1.568,6.8,0
1980-06-01,8,Australian Capital Territory,99.4,5.99,-0.029,-1.335,6.38,0
1980-07-01,8,Australian Capital Territory,99.4,5.95,-0.036,-1.111,5.69,0
1980-08-01,8,Australian Capital Territory,99.3,5.91,-0.044,-0.92,4.91,0
1980-09-01,8,Australian Capital Territory,99.3,5.86,-0.05,-0.777,4.26,0
1980-10-01,8,Australian Capital Territory,99.4,5.81,-0.047,-0.671,3.77,0
1980-11-01,8,Australian Capital Territory,99.5,5.78,-0.03,-0.58,3.31,0
1980-12-01,8,Australian Capital Territory,99.7,5.77,-0.009,-0.49,2.86,0
1981-01-01,8,Australian Capital Territory,100.0,5.78,0.013,-0.396,2.46,0
1981-02-01,8,Australian Capital Territory,100.4,5.82,0.038,-0.298,2.21,0
1981-03-01,8,Australian Capital Territory,100.9,5.89,0.064,-0.19,2.1,0
1981-04-01,8,Australian Capital Territory,101.3,5.96,0.074,-0.082,2.16,0
1981-05-01,8,Australian Capital Territory,101.7,6.02,0.064,0.008,2.32,0
1981-06-01,8,Australian Capital Territory,102.0,6.06,0.034,0.071,2.57,0
1981-07-01,8,Australian Capital Territory,102.3,6.06,-0.001,0.106,2.92,0
1981-08-01,8,Australian Capital Territory,102.7,6.02,-0.036,0.114,3.36,0
1981-09-01,8,Australian Capital Territory,103.2,5.96,-0.059,0.105,3.86,0
1981-10-01,8,Australian Capital Territory,103.7,5.91,-0.055,0.096,4.3,0
1981-11-01,8,Australian Capital Territory,104.0,5.88,-0.025,0.102,4.52,0
1981-12-01,8,Australian Capital Territory,104.0,5.91,0.025,0.135,4.31,0
1982-01-01,8,Australian Capital Territory,103.6,6.0,0.089,0.211,3.58,0
1982-02-01,8,Australian Capital Territory,102.9,6.15,0.152,0.325,2.46,0
1982-03-01,8,Australian Capital Territory,102.0,6.35,0.206,0.466,1.17,0
1982-04-01,8,Australian Capital Territory,101.2,6.6,0.245,0.638,-0.08,0
1982-05-01,8,Australian Capital Territory,100.6,6.86,0.256,0.831,-1.08,0
1982-06-01,8,Australian Capital Territory,100.1,7.1,0.247,1.043,-1.82,0
1982-07-01,8,Australian Capital Territory,99.9,7.33,0.225,1.27,-2.36,0
1982-08-01,8,Australian Capital Territory,99.8,7.52,0.194,1.5,-2.78,0
1982-09-01,8,Australian Capital Territory,99.9,7.68,0.161,1.72,-3.16,0
1982-10-01,8,Australian Capital Territory,100.2,7.8,0.121,1.897,-3.34,0
1982-11-01,8,Australian Capital Territory,100.7,7.88,0.077,1.999,-3.16,0
1982-12-01,8,Australian Capital Territory,101.4,7.92,0.037,2.011,-2.51,0
1983-01-01,8,Australian Capital Territory,102.1,7.92,0.005,1.927,-1.44,0
1983-02-01,8,Australian Capital Territory,102.8,7.9,-0.024,1.751,-0.1,0
1983-03-01,8,Australian Capital Territory,103.5,7.84,-0.059,1.486,1.41,0
1983-04-01,8,Australian Capital Territory,104.3,7.74,-0.098,1.144,3.01,0
1983-05-01,8,Australian Capital Territory,105.1,7.61,-0.129,0.758,4.53,0
1983-06-01,8,Australian Capital Territory,106.0,7.47,-0.145,0.366,5.91,0
1983-07-01,8,Australian Capital Territory,106.9,7.32,-0.147,-0.006,7.07,0
1983-08-01,8,Australian Capital Territory,107.8,7.18,-0.142,-0.342,7.96,0
1983-09-01,8,Australian Capital Territory,108.5,7.05,-0.133,-0.636,8.62,0
1983-10-01,8,Australian Capital Territory,109.2,6.92,-0.124,-0.881,8.94,0
1983-11-01,8,Australian Capital Territory,109.7,6.8,-0.123,-1.081,8.97,0
1983-12-01,8,Australian Capital Territory,110.2,6.67,-0.127,-1.245,8.77,0
1984-01-01,8,Australian Capital Territory,110.7,6.54,-0.137,-1.387,8.49,0
1984-02-01,8,Australian Capital Territory,111.2,6.38,-0.157,-1.52,8.26,0
1984-03-01,8,Australian Capital Territory,111.8,6.2,-0.182,-1.643,8.07,0
1984-04-01,8,Australian Capital Territory,112.5,5.99,-0.203,-1.748,7.84,0
1984-05-01,8,Australian Capital Territory,113.1,5.78,-0.214,-1.833,7.61,0
1984-06-01,8,Australian Capital Territory,113.8,5.57,-0.209,-1.897,7.33,0
1984-07-01,8,Australian Capital Territory,114.4,5.38,-0.194,-1.944,7.0,0
1984-08-01,8,Australian Capital Territory,114.9,5.2,-0.173,-1.975,6.66,0
1984-09-01,8,Australian Capital Territory,115.4,5.05,-0.154,-1.997,6.33,0
1984-10-01,8,Australian Capital Territory,115.9,4.91,-0.138,-2.011,6.16,0
1984-11-01,8,Australian Capital Territory,116.6,4.79,-0.122,-2.01,6.21,0
1984-12-01,8,Australian Capital Territory,117.3,4.69,-0.097,-1.979,6.43,0
1985-01-01,8,Australian Capital Territory,118.1,4.63,-0.067,-1.909,6.68,0
1985-02-01,8,Australian Capital Territory,118.7,4.6,-0.03,-1.783,6.73,0
1985-03-01,8,Australian Capital Territory,119.1,4.61,0.012,-1.589,6.46,0
1985-04-01,8,Australian Capital Territory,119.2,4.66,0.051,-1.336,5.98,0
1985-05-01,8,Australian Capital Territory,119.3,4.74,0.084,-1.038,5.43,0
1985-06-01,8,Australian Capital Territory,119.5,4.85,0.109,-0.72,5.03,0
1985-07-01,8,Australian Capital Territory,120.1,4.96,0.113,-0.413,4.94,0
